Title,Chi-square,Wald's Test,CFI,TLI,RMSEA_Estimate,SRMR.Within,SRMR.Between
Model 0: Redundancy,"2571.73 (61), p: < 0.001",NA,0.884,0.79,0.103,0.062,0.048
Model 1: pHIPP,"2603.685 (60), p: < 0.001","0.229 (1), p: 1.000",0.882,0.784,0.104,0.062,0.048
Model 2: PREC,"2588.423 (60), p: < 0.001","0.754 (1), p: 1.000",0.883,0.785,0.104,0.062,0.048
Model 3: PCC,"2661.201 (60), p: < 0.001","0.313 (1), p: 1.000",0.879,0.779,0.106,0.062,0.048
Model 4: MPFC,"2583.708 (60), p: < 0.001","10.872 (1), p: 0.009",0.883,0.785,0.104,0.061,0.047
Model 5: PHC,"2627.431 (60), p: < 0.001","1.617 (1), p: 1.000",0.881,0.782,0.105,0.062,0.047
Model 6: RSC,"2597.166 (60), p: < 0.001","0.28 (1), p: 1.000",0.882,0.784,0.104,0.062,0.047
Model 7: aAG,"2591.557 (60), p: < 0.001","0.997 (1), p: 1.000",0.883,0.785,0.104,0.062,0.048
Model 8: pAG,"2587.594 (60), p: < 0.001","7.12 (1), p: 0.068",0.883,0.785,0.104,0.062,0.047
Model 9: MPFC + PHC,"2637.365 (59), p: < 0.001","0.833 (1), p: 1.000",0.88,0.777,0.106,0.061,0.047
