Title,Chi-square,Wald's Test,CFI,TLI,RMSEA_Estimate,SRMR.Within,SRMR.Between
Model 0: Redundancy,"1602.375 (61), p: < 0.001",NA,0.955,0.919,0.081,0.046,0.044
Model 1: pHIPP,"1608.105 (60), p: < 0.001","0.107 (1), p: 1.000",0.955,0.917,0.081,0.046,0.044
Model 2: PREC,"1603.811 (60), p: < 0.001","3.339 (1), p: 0.609",0.955,0.918,0.081,0.046,0.044
Model 3: PCC,"1599.772 (60), p: < 0.001","0.038 (1), p: 1.000",0.955,0.918,0.081,0.046,0.044
Model 4: MPFC,"1601.525 (60), p: < 0.001","17.877 (1), p: <0.001",0.955,0.918,0.081,0.045,0.046
Model 5: PHC,"1623.518 (60), p: < 0.001","7.11 (1), p: 0.069",0.955,0.917,0.082,0.046,0.044
Model 6: RSC,"1760.57 (60), p: < 0.001","1.221 (1), p: 1.000",0.951,0.909,0.085,0.045,0.044
Model 7: aAG,"1628.352 (60), p: < 0.001","1.743 (1), p: 1.000",0.954,0.916,0.082,0.046,0.044
Model 8: pAG,"1638.862 (60), p: < 0.001","0.164 (1), p: 1.000",0.954,0.916,0.082,0.046,0.044
Model 9: MPFC + PHC,"1617.915 (59), p: < 0.001","4.376 (1), p: 0.328",0.955,0.915,0.082,0.044,0.046
