BetweenWithin,paramHeader,param,est.unstand,se.unstand,pval.unstand,est.stand,se.stand,pval.stand
Within,PMN.BY,PHIPP,1,0,999.000,0.431,0.006,< 0.001
Within,PMN.BY,PREC,1.941,0.021,< 0.001,0.64,0.006,< 0.001
Within,PMN.BY,PCC,2.042,0.034,< 0.001,0.664,0.004,< 0.001
Within,PMN.BY,MPFC,2.254,0.041,< 0.001,0.531,0.006,< 0.001
Within,PMN.BY,PHC,1.125,0.02,< 0.001,0.45,0.006,< 0.001
Within,PMN.BY,RSC,1.219,0.02,< 0.001,0.513,0.006,< 0.001
Within,PMN.BY,AAG,3.258,0.064,< 0.001,0.678,0.005,< 0.001
Within,PMN.BY,PAG,2.262,0.044,< 0.001,0.501,0.005,< 0.001
Within,MEMQ.BY,SCECORR,1,0,999.000,0.696,0.049,< 0.001
Within,MEMQ.BY,COLCORR,0.539,0.116,< 0.001,0.463,0.039,< 0.001
Within,MEMQ.BY,EMOCORR,0.556,0.088,< 0.001,0.474,0.027,< 0.001
Within,MEMQ.WITH,PMN,0.01,0.002,< 0.001,0.144,0.024,< 0.001
Within,PAG.WITH,MPFC,-0.018,0.001,< 0.001,-0.281,0.008,< 0.001
Within,Variances,PMN,0.005,0,< 0.001,1,0,999.000
Within,Variances,MEMQ,0.939,0.255,< 0.001,1,0,999.000
Within,Residual.Variances,PHIPP,0.02,0,< 0.001,0.814,0.005,< 0.001
Within,Residual.Variances,PREC,0.025,0,< 0.001,0.59,0.008,< 0.001
Within,Residual.Variances,PCC,0.025,0,< 0.001,0.559,0.005,< 0.001
Within,Residual.Variances,MPFC,0.06,0.001,< 0.001,0.718,0.006,< 0.001
Within,Residual.Variances,PHC,0.023,0,< 0.001,0.798,0.005,< 0.001
Within,Residual.Variances,RSC,0.02,0,< 0.001,0.737,0.006,< 0.001
Within,Residual.Variances,AAG,0.058,0.001,< 0.001,0.54,0.007,< 0.001
Within,Residual.Variances,PAG,0.071,0.001,< 0.001,0.749,0.005,< 0.001
Between,MEMQB.BY,SCECORR,1,0,999.000,0.947,0.139,< 0.001
Between,MEMQB.BY,COLCORR,0.539,0.116,< 0.001,0.811,0.163,< 0.001
Between,MEMQB.BY,EMOCORR,0.556,0.088,< 0.001,0.894,0.167,< 0.001
Between,MEMQB.WITH,PHIPP,-0.001,0.004,  0.855,-0.042,0.229,  0.856
Between,MEMQB.WITH,PREC,0.028,0.019,  0.144,0.449,0.238,  0.060
Between,MEMQB.WITH,PCC,0.006,0.013,  0.650,0.111,0.237,  0.638
Between,MEMQB.WITH,MPFC,-0.006,0.007,  0.370,-0.165,0.187,  0.377
Between,MEMQB.WITH,PHC,0.015,0.022,  0.498,0.261,0.374,  0.485
Between,MEMQB.WITH,RSC,0.025,0.01,  0.013,0.64,0.128,< 0.001
Between,MEMQB.WITH,AAG,0.005,0.016,  0.777,0.052,0.183,  0.774
Between,MEMQB.WITH,PAG,0.022,0.017,  0.201,0.254,0.154,  0.101
Between,PHIPP.WITH,PREC,0,0,  0.321,0.164,0.134,  0.221
Between,PHIPP.WITH,PCC,0,0,  0.553,0.141,0.219,  0.520
Between,PHIPP.WITH,MPFC,0,0,  0.401,0.275,0.299,  0.357
Between,PHIPP.WITH,PHC,0,0,  0.399,-0.189,0.211,  0.370
Between,PHIPP.WITH,RSC,0,0,  0.171,0.359,0.205,  0.080
