BetweenWithin,paramHeader,param,est.unstand,se.unstand,pval.unstand,est.stand,se.stand,pval.stand
Within,VPMN.BY,RSC,1,0,999.000,0.627,0.006,< 0.001
,,PHC,0.959,0.015,< 0.001,0.567,0.008,< 0.001
,,PAG,1.807,0.034,< 0.001,0.608,0.007,< 0.001
,DPMN.BY,MPFC,1,0,999.000,0.516,0.006,< 0.001
,,PHIPP,0.477,0.008,< 0.001,0.437,0.008,< 0.001
,,PREC,0.924,0.015,< 0.001,0.647,0.007,< 0.001
,,PCC,0.981,0.015,< 0.001,0.685,0.004,< 0.001
,,AAG,1.604,0.025,< 0.001,0.711,0.005,< 0.001
,MEMQ.BY,SCECORR,1,0,999.000,0.707,0.057,< 0.001
,,COLCORR,0.525,0.135,< 0.001,0.465,0.044,< 0.001
,,EMOCORR,0.519,0.101,< 0.001,0.46,0.03,< 0.001
,DPMN.WITH,VPMN,0.009,0,< 0.001,0.634,0.008,< 0.001
,MEMQ.WITH,VPMN,0.02,0.004,< 0.001,0.2,0.025,< 0.001
,,DPMN,0.014,0.004,  0.001,0.102,0.026,< 0.001
,Variances,VPMN,0.01,0,< 0.001,1,0,999.000
,,DPMN,0.02,0.001,< 0.001,1,0,999.000
,,MEMQ,0.999,0.324,  0.002,1,0,999.000
,,PHIPP,0.019,0,< 0.001,0.809,0.007,< 0.001
,,PREC,0.024,0,< 0.001,0.581,0.009,< 0.001
,,PCC,0.022,0,< 0.001,0.531,0.006,< 0.001
,,MPFC,0.055,0.001,< 0.001,0.734,0.006,< 0.001
,,PHC,0.019,0,< 0.001,0.679,0.009,< 0.001
,,RSC,0.015,0,< 0.001,0.607,0.008,< 0.001
,,AAG,0.05,0.001,< 0.001,0.494,0.007,< 0.001
,,PAG,0.054,0.001,< 0.001,0.63,0.008,< 0.001
Between,MEMQB.BY,SCECORR,1,0,999.000,0.963,0.127,< 0.001
,,COLCORR,0.525,0.135,< 0.001,0.815,0.155,< 0.001
,,EMOCORR,0.519,0.101,< 0.001,0.868,0.161,< 0.001
,MEMQB.WITH,PHIPP,0.007,0.004,  0.086,0.459,0.193,  0.017
,,PREC,0.03,0.013,  0.025,0.569,0.131,< 0.001
,,PCC,0.017,0.011,  0.138,0.297,0.166,  0.074
,,MPFC,-0.004,0.007,  0.532,-0.114,0.19,  0.548
,,PHC,0.019,0.009,  0.033,0.375,0.163,  0.021
,,RSC,0.034,0.01,< 0.001,0.785,0.171,< 0.001
,,AAG,0.011,0.018,  0.536,0.106,0.163,  0.515
,,PAG,0.009,0.012,  0.457,0.11,0.138,  0.424
,PHIPP.WITH,PREC,0.001,0,  0.030,0.542,0.17,  0.001
,,PCC,0.001,0,  0.106,0.385,0.165,  0.020
,,MPFC,0,0,  0.840,0.032,0.154,  0.838
,,PHC,0,0,  0.983,0.005,0.229,  0.983
,,RSC,0.001,0,  0.224,0.392,0.293,  0.181
,,AAG,0.001,0.001,  0.111,0.394,0.195,  0.043
,,PAG,-0.001,0.001,  0.413,-0.247,0.295,  0.403
,PREC.WITH,PCC,0.002,0.001,  0.227,0.271,0.203,  0.182
,,MPFC,0.001,0.001,  0.463,0.142,0.186,  0.445
,,PHC,0.002,0.001,  0.081,0.412,0.194,  0.034
,,RSC,0.002,0.001,  0.012,0.505,0.13,< 0.001
,,AAG,-0.001,0.001,  0.467,-0.092,0.127,  0.468
,,PAG,-0.001,0.002,  0.688,-0.092,0.226,  0.685
,PCC.WITH,MPFC,0.001,0.001,  0.192,0.232,0.152,  0.128
,,PHC,0,0.001,  0.959,-0.009,0.17,  0.959
,,RSC,0.002,0.001,  0.028,0.433,0.149,  0.004
,,AAG,0.001,0.002,  0.445,0.107,0.132,  0.418
,,PAG,-0.002,0.002,  0.430,-0.194,0.241,  0.421
,MPFC.WITH,PHC,-0.001,0.001,  0.083,-0.318,0.163,  0.051
,,RSC,0,0.001,  0.964,0.01,0.23,  0.964
,,AAG,0.001,0.001,  0.317,0.145,0.135,  0.281
,,PAG,-0.001,0.001,  0.361,-0.206,0.215,  0.339
,PHC.WITH,RSC,0,0.001,  0.977,0.005,0.166,  0.977
,,AAG,-0.006,0.003,  0.024,-0.548,0.143,< 0.001
,,PAG,0.001,0.001,  0.218,0.135,0.096,  0.157
,RSC.WITH,AAG,0.003,0.002,  0.145,0.272,0.164,  0.097
