BetweenWithin,paramHeader,param,est.unstand,se.unstand,pval.unstand,est.stand,se.stand,pval.stand
Within,VPMN.BY,RSC,1,0,999.000,0.627,0.006,< 0.001
Within,VPMN.BY,PHC,0.959,0.015,< 0.001,0.567,0.008,< 0.001
Within,VPMN.BY,PAG,1.807,0.034,< 0.001,0.608,0.007,< 0.001
Within,DPMN.BY,MPFC,1,0,999.000,0.516,0.006,< 0.001
Within,DPMN.BY,PHIPP,0.477,0.008,< 0.001,0.437,0.008,< 0.001
Within,DPMN.BY,PREC,0.924,0.015,< 0.001,0.647,0.007,< 0.001
Within,DPMN.BY,PCC,0.981,0.015,< 0.001,0.685,0.004,< 0.001
Within,DPMN.BY,AAG,1.604,0.025,< 0.001,0.711,0.005,< 0.001
Within,MEMQ.BY,SCECORR,1,0,999.000,0.707,0.057,< 0.001
Within,MEMQ.BY,COLCORR,0.525,0.135,< 0.001,0.465,0.044,< 0.001
Within,MEMQ.BY,EMOCORR,0.519,0.101,< 0.001,0.46,0.03,< 0.001
Within,DPMN.WITH,VPMN,0.009,0,< 0.001,0.634,0.008,< 0.001
Within,MEMQ.WITH,VPMN,0.02,0.004,< 0.001,0.2,0.025,< 0.001
Within,MEMQ.WITH,DPMN,0.014,0.004,  0.001,0.102,0.026,< 0.001
Within,Variances,VPMN,0.01,0,< 0.001,1,0,999.000
Within,Variances,DPMN,0.02,0.001,< 0.001,1,0,999.000
Within,Variances,MEMQ,0.999,0.324,  0.002,1,0,999.000
Within,Residual.Variances,PHIPP,0.019,0,< 0.001,0.809,0.007,< 0.001
Within,Residual.Variances,PREC,0.024,0,< 0.001,0.581,0.009,< 0.001
Within,Residual.Variances,PCC,0.022,0,< 0.001,0.531,0.006,< 0.001
Within,Residual.Variances,MPFC,0.055,0.001,< 0.001,0.734,0.006,< 0.001
Within,Residual.Variances,PHC,0.019,0,< 0.001,0.679,0.009,< 0.001
Within,Residual.Variances,RSC,0.015,0,< 0.001,0.607,0.008,< 0.001
Within,Residual.Variances,AAG,0.05,0.001,< 0.001,0.494,0.007,< 0.001
Within,Residual.Variances,PAG,0.054,0.001,< 0.001,0.63,0.008,< 0.001
Between,MEMQB.BY,SCECORR,1,0,999.000,0.963,0.127,< 0.001
Between,MEMQB.BY,COLCORR,0.525,0.135,< 0.001,0.815,0.155,< 0.001
Between,MEMQB.BY,EMOCORR,0.519,0.101,< 0.001,0.868,0.161,< 0.001
Between,MEMQB.WITH,PHIPP,0.007,0.004,  0.086,0.459,0.193,  0.017
Between,MEMQB.WITH,PREC,0.03,0.013,  0.025,0.569,0.131,< 0.001
Between,MEMQB.WITH,PCC,0.017,0.011,  0.138,0.297,0.166,  0.074
Between,MEMQB.WITH,MPFC,-0.004,0.007,  0.532,-0.114,0.19,  0.548
