rowname,mean,sd,min,max,ICC,pHipp,PREC,PCC,MPFC,PHC,RSC,aAG,pAG,SceCorr,ColCorr,EmoCorr
pHipp,0.033585023631177664,0.18364426630779823,-0.752264584861696,0.998773023318499,0.037,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PREC,0.06802533018504776,0.2509315591481912,-1.07278182029724,1.13389116678271,0.085,0.3213171908013201,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PCC,0.11928162357641203,0.3108306477174538,-1.5868951382488,1.47804462974891,0.193,0.3895257112099686,0.4677198934298202,NA,NA,NA,NA,NA,NA,NA,NA,NA
MPFC,-1.7956899172407974e-4,0.3380158620341975,-1.69883098723833,1.92931495096534,0.087,0.3809994671507569,0.3031479204631566,0.45655709109825376,NA,NA,NA,NA,NA,NA,NA,NA
PHC,0.04598655142443296,0.2016036233434028,-1.17056962960633,0.876572706485167,0.124,0.31149557538261374,0.32868420250901115,0.3052066000125701,0.15068033508816178,NA,NA,NA,NA,NA,NA,NA
RSC,0.11334159969383004,0.22742136593991524,-0.943374464851804,0.977618102869019,0.156,0.2751399980685096,0.3740477157601955,0.3675674548602256,0.20311140388151527,0.4422818586783,NA,NA,NA,NA,NA,NA
aAG,0.0817921035620616,0.40237189374436483,-1.67538662210107,1.98608249679208,0.254,0.3571219756115112,0.4243805107217299,0.4924956309242203,0.44641173244501664,0.22395569632380669,0.3565495005981795,NA,NA,NA,NA,NA
pAG,0.060062886708176326,0.35905422126004205,-2.10481399076059,1.73181116588414,0.077,0.3245632262842978,0.36440742193670533,0.38559963901918115,0.163065399934742,0.4383159406435127,0.3862680278997098,0.342240571520723,NA,NA,NA,NA
SceCorr,0.6756687242798354,0.46818466133300984,0,1,0.208,0.06089645053822522,0.08696450450933312,0.05780979476932298,-0.03693685885588597,0.1260065115812212,0.16380238843651918,0.029884278061614082,0.08690617546833912,NA,NA,NA
ColCorr,0.7217078189300411,0.44821570046706016,0,1,0.145,0.015132693395935896,0.058763971379299736,0.056081164578514434,-0.04839915628459817,0.058313549215048686,0.059300053886959095,0.023029067837426042,0.0235952548991803,0.2489628772541312,NA,NA
EmoCorr,0.7574588477366255,0.42867494172614645,0,1,0.119,0.05762749404841766,0.0855161887773525,0.06895231082987095,0.0019599531996114927,0.09051238353965531,0.09339823038910991,0.017342422870084563,0.05482219766492175,0.22837032810969993,0.16411797871175682,NA
