Title,Chi-square,Wald's Test,CFI,TLI,RMSEA_Estimate,SRMR.Within,SRMR.Between
Model 0: Redundancy,"1125.465 (60), p: < 0.001",NA,0.969,0.943,0.068,0.042,0.044
Model 1: pHIPP,"1129.232 (59), p: < 0.001","0.03 (1), p: 0.8627",0.969,0.942,0.068,0.042,0.044
Model 2: PREC,"1124.752 (59), p: < 0.001","4.065 (1), p: 0.0438",0.969,0.942,0.068,0.042,0.044
Model 3: PCC,"1123.431 (59), p: < 0.001","0.196 (1), p: 0.6580",0.969,0.942,0.068,0.043,0.044
Model 4: MPFC,"1116.813 (59), p: < 0.001","14.803 (1), p: <0.001",0.969,0.943,0.068,0.041,0.045
Model 5: PHC,"1139.095 (59), p: < 0.001","7.703 (1), p: 0.0055",0.969,0.941,0.069,0.042,0.044
Model 6: RSC,"1236.019 (59), p: < 0.001","1.371 (1), p: 0.2416",0.966,0.936,0.072,0.041,0.044
Model 7: aAG,"1142.332 (59), p: < 0.001","1.455 (1), p: 0.2277",0.968,0.941,0.069,0.042,0.044
Model 8: pAG,"1140.854 (59), p: < 0.001","1.512 (1), p: 0.2188",0.969,0.941,0.069,0.042,0.044
Model 9: MPFC + PHC,"1130.145 (58), p: < 0.001","5.686 (1), p: 0.0171",0.969,0.941,0.069,0.04,0.045
Model 10: MPFC + PHC + PREC,"1130.945 (57), p: < 0.001","3.704 (1), p: 0.0543",0.969,0.94,0.07,0.04,0.046
