BetweenWithin,paramHeader,param,est.unstand,se.unstand,pval.unstand,est.stand,se.stand,pval.stand
Within,PMN.BY,PHIPP,1,0,999.000,0.548,0.005,< 0.001
Within,PMN.BY,PREC,1.527,0.016,< 0.001,0.628,0.005,< 0.001
Within,PMN.BY,PCC,2.109,0.02,< 0.001,0.745,0.003,< 0.001
Within,PMN.BY,MPFC,1.895,0.026,< 0.001,0.58,0.005,< 0.001
Within,PMN.BY,PHC,0.971,0.012,< 0.001,0.508,0.006,< 0.001
Within,PMN.BY,RSC,1.158,0.012,< 0.001,0.548,0.005,< 0.001
Within,PMN.BY,AAG,2.529,0.037,< 0.001,0.717,0.005,< 0.001
Within,PMN.BY,PAG,2.292,0.024,< 0.001,0.655,0.004,< 0.001
Within,MEMQ.BY,SCECORR,1,0,999.000,0.679,0.059,< 0.001
Within,MEMQ.BY,COLCORR,0.56,0.138,< 0.001,0.46,0.042,< 0.001
Within,MEMQ.BY,EMOCORR,0.594,0.12,< 0.001,0.482,0.027,< 0.001
Within,MEMQ.WITH,PMN,0.012,0.003,< 0.001,0.13,0.025,< 0.001
Within,PAG.WITH,MPFC,-0.019,0,< 0.001,-0.277,0.005,< 0.001
Within,Variances,PMN,0.01,0,< 0.001,1,0,999.000
Within,Variances,MEMQ,0.856,0.274,  0.002,1,0,999.000
Within,Residual.Variances,PHIPP,0.023,0,< 0.001,0.7,0.005,< 0.001
Within,Residual.Variances,PREC,0.035,0,< 0.001,0.605,0.006,< 0.001
Within,Residual.Variances,PCC,0.035,0,< 0.001,0.445,0.004,< 0.001
Within,Residual.Variances,MPFC,0.069,0.001,< 0.001,0.664,0.006,< 0.001
Within,Residual.Variances,PHC,0.027,0,< 0.001,0.742,0.006,< 0.001
Within,Residual.Variances,RSC,0.031,0,< 0.001,0.7,0.006,< 0.001
Within,Residual.Variances,AAG,0.059,0.001,< 0.001,0.486,0.007,< 0.001
Within,Residual.Variances,PAG,0.068,0.001,< 0.001,0.57,0.006,< 0.001
Between,MEMQB.BY,SCECORR,1,0,999.000,0.934,0.135,< 0.001
Between,MEMQB.BY,COLCORR,0.56,0.138,< 0.001,0.787,0.157,< 0.001
Between,MEMQB.BY,EMOCORR,0.594,0.12,< 0.001,0.925,0.17,< 0.001
Between,MEMQB.WITH,PHIPP,0.007,0.005,  0.170,0.319,0.191,  0.096
Between,MEMQB.WITH,PREC,0.021,0.011,  0.065,0.439,0.156,  0.005
Between,MEMQB.WITH,PCC,0.028,0.019,  0.137,0.309,0.205,  0.132
Between,MEMQB.WITH,MPFC,-0.014,0.014,  0.297,-0.219,0.193,  0.257
Between,MEMQB.WITH,PHC,0.025,0.012,  0.045,0.532,0.174,  0.002
Between,MEMQB.WITH,RSC,0.034,0.015,  0.020,0.586,0.15,< 0.001
Between,MEMQB.WITH,AAG,0.008,0.196,  0.966,0.064,1.485,  0.966
Between,MEMQB.WITH,PAG,0.024,0.015,  0.115,0.373,0.212,  0.078
Between,PHIPP.WITH,PREC,0.001,0,  0.241,0.2,0.158,  0.207
Between,PHIPP.WITH,PCC,0.002,0.001,  0.001,0.49,0.088,< 0.001
Between,PHIPP.WITH,MPFC,0.001,0.001,  0.362,0.259,0.269,  0.336
Between,PHIPP.WITH,PHC,0.001,0.001,  0.239,0.322,0.247,  0.192
Between,PHIPP.WITH,RSC,0.001,0.001,  0.301,0.283,0.259,  0.275
Between,PHIPP.WITH,AAG,0.002,0.001,  0.046,0.337,0.131,  0.010
Between,PHIPP.WITH,PAG,0.001,0.001,  0.353,0.241,0.244,  0.324
Between,PREC.WITH,PCC,0.003,0.001,  0.045,0.276,0.115,  0.017
Between,PREC.WITH,MPFC,0.001,0.001,  0.381,0.167,0.175,  0.339
Between,PREC.WITH,PHC,0.002,0.001,  0.064,0.413,0.135,  0.002
Between,PREC.WITH,RSC,0.003,0.001,  0.019,0.522,0.155,  0.001
Between,PREC.WITH,AAG,0.002,0.002,  0.378,0.147,0.155,  0.344
Between,PREC.WITH,PAG,-0.001,0.001,  0.639,-0.082,0.174,  0.637
Between,PCC.WITH,MPFC,0.004,0.002,  0.114,0.274,0.142,  0.053
Between,PCC.WITH,PHC,0.003,0.003,  0.341,0.268,0.269,  0.320
Between,PCC.WITH,RSC,0.005,0.003,  0.061,0.407,0.182,  0.025
Between,PCC.WITH,AAG,0.007,0.005,  0.183,0.256,0.178,  0.150
Between,PCC.WITH,PAG,0.001,0.003,  0.656,0.085,0.187,  0.649
Between,MPFC.WITH,PHC,-0.003,0.002,  0.131,-0.357,0.19,  0.060
Between,MPFC.WITH,RSC,-0.002,0.002,  0.370,-0.186,0.197,  0.345
Between,MPFC.WITH,AAG,0.01,0.004,  0.020,0.51,0.123,< 0.001
Between,MPFC.WITH,PAG,-0.004,0.002,  0.049,-0.371,0.158,  0.019
Between,PHC.WITH,RSC,0.004,0.001,  0.006,0.577,0.095,< 0.001
Between,PHC.WITH,AAG,-0.004,0.003,  0.082,-0.31,0.148,  0.036
Between,PHC.WITH,PAG,0.003,0.002,  0.067,0.417,0.159,  0.009
Between,RSC.WITH,AAG,0.005,0.004,  0.182,0.292,0.214,  0.173
Between,RSC.WITH,PAG,0.001,0.002,  0.606,0.095,0.18,  0.599
Between,AAG.WITH,PAG,-0.003,0.003,  0.244,-0.166,0.131,  0.206
Between,Means,PHIPP,0.033,0.008,< 0.001,0.949,0.221,< 0.001
Between,Means,PREC,0.066,0.015,< 0.001,0.908,0.228,< 0.001
Between,Means,PCC,0.115,0.03,< 0.001,0.844,0.22,< 0.001
Between,Means,MPFC,-0.002,0.023,  0.942,-0.017,0.229,  0.942
Between,Means,PHC,0.045,0.015,  0.002,0.628,0.256,  0.014
Between,Means,RSC,0.111,0.018,< 0.001,1.24,0.255,< 0.001
Between,Means,AAG,0.083,0.044,  0.057,0.408,0.204,  0.046
Between,Means,PAG,0.059,0.023,  0.012,0.59,0.296,  0.046
Between,Thresholds,SCECORR$1,-0.691,0.132,< 0.001,-0.507,0.107,< 0.001
Between,Thresholds,COLCORR$1,-0.709,0.099,< 0.001,-0.63,0.081,< 0.001
Between,Thresholds,EMOCORR$1,-0.832,0.105,< 0.001,-0.729,0.093,< 0.001
Between,Variances,PHIPP,0.001,0,< 0.001,1,0,999.000
Between,Variances,PREC,0.005,0.002,  0.002,1,0,999.000
Between,Variances,PCC,0.019,0.003,< 0.001,1,0,999.000
Between,Variances,MPFC,0.01,0.004,  0.010,1,0,999.000
Between,Variances,PHC,0.005,0.002,  0.003,1,0,999.000
Between,Variances,RSC,0.008,0.002,  0.001,1,0,999.000
Between,Variances,AAG,0.041,0.01,< 0.001,1,0,999.000
Between,Variances,PAG,0.01,0.003,  0.003,1,0,999.000
Between,Variances,MEMQB,0.425,0.25,  0.089,1,0,999.000
Between,Residual.Variances,SCECORR,0.062,0.135,  0.644,0.128,0.253,  0.613
Between,Residual.Variances,COLCORR,0.082,0.076,  0.286,0.38,0.247,  0.124
Between,Residual.Variances,EMOCORR,0.025,0.061,  0.678,0.145,0.314,  0.646
